customer_id,cutoff_date,total_orders,total_spend,total_quantity,unique_products,active_days,average_order_value,customer_lifespan_days,recency_days,average_interpurchase_days,median_interpurchase_days,orders_30d,orders_60d,orders_90d,spend_30d,spend_60d,spend_90d,orders_previous_90d,spend_previous_90d,order_trend_ratio,spend_trend_ratio,churn
13611.0,2010-06-01 07:45:00,3,781.87,421,54,3,260.62333333333333,126,53,63.13125,63.13125,0,1,2,0.0,141.08,443.94,1,337.93000000000006,2.0,1.3137040215429228,0
15255.0,2010-06-01 07:45:00,1,260.43999999999994,176,13,1,260.43999999999994,0,179,0.0,0.0,0,0,0,0.0,0.0,0.0,1,260.43999999999994,0.0,0.0,0
14771.0,2010-06-01 07:45:00,2,594.6199999999998,622,46,2,297.3099999999999,115,64,115.13055555555556,115.13055555555556,0,0,1,0.0,0.0,307.25,1,287.36999999999995,1.0,1.0691791070745034,1
14838.0,2010-06-01 07:45:00,1,119.10000000000001,18,4,1,119.10000000000001,0,179,0.0,0.0,0,0,0,0.0,0.0,0.0,1,119.10000000000001,0.0,0.0,1
13979.0,2010-06-01 07:45:00,4,1292.81,856,178,4,323.2025,160,19,53.386574074074076,68.82083333333334,2,2,2,614.32,614.32,614.32,2,678.49,1.0,0.9054223348907132,1
13800.0,2010-06-01 07:45:00,1,478.70000000000005,242,19,1,478.70000000000005,0,179,0.0,0.0,0,0,0,0.0,0.0,0.0,1,478.70000000000005,0.0,0.0,1
14483.0,2010-06-01 07:45:00,1,120.0,96,4,1,120.0,0,179,0.0,0.0,0,0,0,0.0,0.0,0.0,1,120.0,0.0,0.0,1
14915.0,2010-06-01 07:45:00,3,537.3100000000001,205,29,3,179.10333333333335,159,20,79.50833333333333,79.50833333333333,1,1,2,170.04999999999998,170.04999999999998,335.25,1,202.06,2.0,1.6591606453528656,0
13753.0,2010-06-01 07:45:00,3,1353.31,938,37,3,451.1033333333333,138,41,69.07916666666667,69.07916666666667,0,1,1,0.0,376.11,376.11,2,977.2,0.5,0.38488538681948425,1
16301.0,2010-06-01 07:45:00,1,107.33,41,6,1,107.33,0,179,0.0,0.0,0,0,0,0.0,0.0,0.0,1,107.33,0.0,0.0,1
15482.0,2010-06-01 07:45:00,5,2661.3499999999995,1055,19,5,532.2699999999999,136,43,34.00138888888889,28.928125,0,1,3,0.0,1354.4,2270.15,2,391.2,1.5,5.803041922290389,1
13931.0,2010-06-01 07:45:00,4,2131.42,1602,96,3,532.855,113,66,37.71203703703704,11.14861111111111,0,0,1,0.0,0.0,501.35999999999996,3,1630.0600000000002,0.3333333333333333,0.30757150043556675,1
12921.0,2010-06-01 07:45:00,13,8319.86,5449,117,12,639.9892307692309,171,7,14.331828703703705,7.561805555555555,2,4,7,1743.1699999999998,2687.1099999999997,4706.99,6,3612.87,1.1666666666666667,1.3028395707567668,0
17035.0,2010-06-01 07:45:00,2,180.06,98,4,2,90.03,145,34,145.1486111111111,145.1486111111111,0,1,1,0.0,125.46000000000001,125.46000000000001,1,54.599999999999994,1.0,2.297802197802198,1
15194.0,2010-06-01 07:45:00,6,2214.99,1635,77,6,369.16499999999996,132,46,26.597638888888888,6.0777777777777775,0,1,2,0.0,399.59999999999997,727.9500000000002,4,1487.04,0.5,0.4895295351839898,0
14347.0,2010-06-01 07:45:00,1,82.60000000000001,48,6,1,82.60000000000001,0,179,0.0,0.0,0,0,0,0.0,0.0,0.0,1,82.60000000000001,0.0,0.0,1
12934.0,2010-06-01 07:45:00,1,181.65,31,2,1,181.65,0,179,0.0,0.0,0,0,0,0.0,0.0,0.0,1,181.65,0.0,0.0,1
15291.0,2010-06-01 07:45:00,16,5432.01,1263,50,15,339.500625,157,21,10.530648148148149,6.139583333333333,3,5,7,808.95,1484.85,2148.23,9,3283.7800000000007,0.7777777777777778,0.6541942517464628,0
17209.0,2010-06-01 07:45:00,3,595.6999999999999,723,36,3,198.56666666666663,87,92,43.60104166666667,43.60104166666667,0,0,0,0.0,0.0,0.0,3,595.6999999999999,0.0,0.0,1
15658.0,2010-06-01 07:45:00,1,321.65,93,17,1,321.65,0,179,0.0,0.0,0,0,0,0.0,0.0,0.0,1,321.65,0.0,0.0,0
